title,price,rating,availability,link,category,price_in_inr
Beyond Good and Evil,43.38,One,In stock,https://books.toscrape.com/beyond-good-and-evil_6/index.html,Philosophy,5032.08
Chase Me (Paris Nights #2),25.27,Five,In stock,https://books.toscrape.com/chase-me-paris-nights-2_977/index.html,Romance,2931.32
Black Dust,34.53,Five,In stock,https://books.toscrape.com/black-dust_976/index.html,Romance,4005.48
Her Backup Boyfriend (The Sorensen Family #1),33.97,One,In stock,https://books.toscrape.com/her-backup-boyfriend-the-sorensen-family-1_896/index.html,Romance,3940.52
First and First (Five Boroughs #3),15.97,Four,In stock,https://books.toscrape.com/first-and-first-five-boroughs-3_893/index.html,Romance,1852.52
Fifty Shades Darker (Fifty Shades #2),21.96,One,In stock,https://books.toscrape.com/fifty-shades-darker-fifty-shades-2_892/index.html,Romance,2547.36
The Wedding Dress,24.12,One,In stock,https://books.toscrape.com/the-wedding-dress_864/index.html,Romance,2797.92
Suddenly in Love (Lake Haven #1),55.99,Two,In stock,https://books.toscrape.com/suddenly-in-love-lake-haven-1_835/index.html,Romance,6494.84
Something More Than This,16.24,Four,In stock,https://books.toscrape.com/something-more-than-this_834/index.html,Romance,1883.84
Doing It Over (Most Likely To #1),35.61,Three,In stock,https://books.toscrape.com/doing-it-over-most-likely-to-1_802/index.html,Romance,4130.76
The Wedding Pact (The O'Malleys #2),32.61,Three,In stock,https://books.toscrape.com/the-wedding-pact-the-omalleys-2_767/index.html,Romance,3782.7599999999998
Hold Your Breath (Search and Rescue #1),28.82,One,In stock,https://books.toscrape.com/hold-your-breath-search-and-rescue-1_700/index.html,Romance,3343.12
Dirty (Dive Bar #1),40.83,Four,In stock,https://books.toscrape.com/dirty-dive-bar-1_615/index.html,Romance,4736.28
Take Me Home Tonight (Rock Star Romance #3),53.98,Three,In stock,https://books.toscrape.com/take-me-home-tonight-rock-star-romance-3_605/index.html,Romance,6261.679999999999
Off the Hook (Fishing for Trouble #1),47.67,Three,In stock,https://books.toscrape.com/off-the-hook-fishing-for-trouble-1_601/index.html,Romance,5529.72
A Gentleman's Position (Society of Gentlemen #3),14.75,Five,In stock,https://books.toscrape.com/a-gentlemans-position-society-of-gentlemen-3_584/index.html,Romance,1711.0
"Sit, Stay, Love",20.9,Three,In stock,https://books.toscrape.com/sit-stay-love_486/index.html,Romance,2424.3999999999996
A Girl's Guide to Moving On (New Beginnings #2),31.3,One,In stock,https://books.toscrape.com/a-girls-guide-to-moving-on-new-beginnings-2_359/index.html,Romance,3630.8
The Perfect Play (Play by Play #1),59.99,Three,In stock,https://books.toscrape.com/the-perfect-play-play-by-play-1_352/index.html,Romance,6958.84
Dark Lover (Black Dagger Brotherhood #1),12.87,One,In stock,https://books.toscrape.com/dark-lover-black-dagger-brotherhood-1_319/index.html,Romance,1492.9199999999998
Changing the Game (Play by Play #2),13.38,Three,In stock,https://books.toscrape.com/changing-the-game-play-by-play-2_317/index.html,Romance,1552.0800000000002
A Walk to Remember,56.43,One,In stock,https://books.toscrape.com/a-walk-to-remember_312/index.html,Romance,6545.88
The Purest Hook (Second Circle Tattoos #3),12.25,One,In stock,https://books.toscrape.com/the-purest-hook-second-circle-tattoos-3_271/index.html,Romance,1421.0
The Obsession,45.43,One,In stock,https://books.toscrape.com/the-obsession_268/index.html,Romance,5269.88
Reservations for Two,11.1,Three,In stock,https://books.toscrape.com/reservations-for-two_211/index.html,Romance,1287.6
Best of My Love (Fool's Gold #20),27.41,Two,In stock,https://books.toscrape.com/best-of-my-love-fools-gold-20_127/index.html,Romance,3179.56
Where Lightning Strikes (Bleeding Stars #3),39.77,Three,In stock,https://books.toscrape.com/where-lightning-strikes-bleeding-stars-3_96/index.html,Romance,4613.320000000001
This One Moment (Pushing Limits #1),48.71,One,In stock,https://books.toscrape.com/this-one-moment-pushing-limits-1_88/index.html,Romance,5650.36
"Rhythm, Chord & Malykhin",28.34,Two,In stock,https://books.toscrape.com/rhythm-chord-malykhin_47/index.html,Romance,3287.44
My Perfect Mistake (Over the Top #1),38.92,Two,In stock,https://books.toscrape.com/my-perfect-mistake-over-the-top-1_35/index.html,Romance,4514.72
Listen to Me (Fusion #1),58.99,Three,In stock,https://books.toscrape.com/listen-to-me-fusion-1_29/index.html,Romance,6842.84
Imperfect Harmony,34.74,Four,In stock,https://books.toscrape.com/imperfect-harmony_26/index.html,Romance,4029.84
Fighting Fate (Fighting #6),39.24,Three,In stock,https://books.toscrape.com/fighting-fate-fighting-6_18/index.html,Romance,4551.84
Deep Under (Walker Security #1),47.09,Five,In stock,https://books.toscrape.com/deep-under-walker-security-1_15/index.html,Romance,5462.4400000000005
Charity's Cross (Charles Towne Belles #4),41.24,One,In stock,https://books.toscrape.com/charitys-cross-charles-towne-belles-4_12/index.html,Romance,4783.84
Bounty (Colorado Mountain #7),37.26,Four,In stock,https://books.toscrape.com/bounty-colorado-mountain-7_9/index.html,Romance,4322.16
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Four,In stock,https://books.toscrape.com/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,Womens Fiction,6653.76
Will You Won't You Want Me?,13.86,Three,In stock,https://books.toscrape.com/will-you-wont-you-want-me_644/index.html,Womens Fiction,1607.76
Keep Me Posted,20.46,Four,In stock,https://books.toscrape.com/keep-me-posted_594/index.html,Womens Fiction,2373.36
Grey (Fifty Shades #4),48.49,Four,In stock,https://books.toscrape.com/grey-fifty-shades-4_592/index.html,Womens Fiction,5624.84
Meternity,43.58,Three,In stock,https://books.toscrape.com/meternity_478/index.html,Womens Fiction,5055.28
Some Women,13.73,Five,In stock,https://books.toscrape.com/some-women_341/index.html,Womens Fiction,1592.68
Shopaholic Ties the Knot (Shopaholic #3),48.39,Five,In stock,https://books.toscrape.com/shopaholic-ties-the-knot-shopaholic-3_340/index.html,Womens Fiction,5613.24
Can You Keep a Secret?,21.94,One,In stock,https://books.toscrape.com/can-you-keep-a-secret_315/index.html,Womens Fiction,2545.04
Twenties Girl,42.8,Two,In stock,https://books.toscrape.com/twenties-girl_292/index.html,Womens Fiction,4964.799999999999
The Undomestic Goddess,45.75,Four,In stock,https://books.toscrape.com/the-undomestic-goddess_286/index.html,Womens Fiction,5307.0
The Nanny Diaries (Nanny #1),52.53,Five,In stock,https://books.toscrape.com/the-nanny-diaries-nanny-1_265/index.html,Womens Fiction,6093.4800000000005
The Devil Wears Prada (The Devil Wears Prada #1),44.29,One,In stock,https://books.toscrape.com/the-devil-wears-prada-the-devil-wears-prada-1_243/index.html,Womens Fiction,5137.64
Something Borrowed (Darcy & Rachel #1),48.96,Five,In stock,https://books.toscrape.com/something-borrowed-darcy-rachel-1_224/index.html,Womens Fiction,5679.36
Something Blue (Darcy & Rachel #2),54.62,One,In stock,https://books.toscrape.com/something-blue-darcy-rachel-2_223/index.html,Womens Fiction,6335.92
I've Got Your Number,19.69,One,In stock,https://books.toscrape.com/ive-got-your-number_173/index.html,Womens Fiction,2284.04
The Edge of Reason (Bridget Jones #2),19.18,Four,In stock,https://books.toscrape.com/the-edge-of-reason-bridget-jones-2_63/index.html,Womens Fiction,2224.88
Bridget Jones's Diary (Bridget Jones #1),29.82,One,In stock,https://books.toscrape.com/bridget-joness-diary-bridget-jones-1_10/index.html,Womens Fiction,3459.12
Soumission,50.1,One,In stock,https://books.toscrape.com/soumission_998/index.html,Fiction,5811.6
Private Paris (Private #10),47.61,Five,In stock,https://books.toscrape.com/private-paris-private-10_958/index.html,Fiction,5522.76
"We Love You, Charlie Freeman",50.27,Five,In stock,https://books.toscrape.com/we-love-you-charlie-freeman_954/index.html,Fiction,5831.320000000001
Thirst,17.27,Five,In stock,https://books.toscrape.com/thirst_946/index.html,Fiction,2003.32
The Murder That Never Was (Forensic Instincts #5),54.11,Three,In stock,https://books.toscrape.com/the-murder-that-never-was-forensic-instincts-5_939/index.html,Fiction,6276.76
Tuesday Nights in 1980,21.04,Two,In stock,https://books.toscrape.com/tuesday-nights-in-1980_870/index.html,Fiction,2440.64
The Vacationers,42.15,Four,In stock,https://books.toscrape.com/the-vacationers_863/index.html,Fiction,4889.4
The Regional Office Is Under Attack!,51.36,Five,In stock,https://books.toscrape.com/the-regional-office-is-under-attack_858/index.html,Fiction,5957.76
Finders Keepers (Bill Hodges Trilogy #2),53.53,Five,In stock,https://books.toscrape.com/finders-keepers-bill-hodges-trilogy-2_807/index.html,Fiction,6209.4800000000005
The Time Keeper,27.88,Five,In stock,https://books.toscrape.com/the-time-keeper_766/index.html,Fiction,3234.08
The Testament of Mary,52.67,Four,In stock,https://books.toscrape.com/the-testament-of-mary_765/index.html,Fiction,6109.72
The First Hostage (J.B. Collins #2),25.85,Three,In stock,https://books.toscrape.com/the-first-hostage-jb-collins-2_749/index.html,Fiction,2998.6000000000004
Take Me with You,45.21,Three,In stock,https://books.toscrape.com/take-me-with-you_741/index.html,Fiction,5244.36
Still Life with Bread Crumbs,26.41,Three,In stock,https://books.toscrape.com/still-life-with-bread-crumbs_738/index.html,Fiction,3063.56
Shtum,55.84,Four,In stock,https://books.toscrape.com/shtum_733/index.html,Fiction,6477.4400000000005
My Name Is Lucy Barton,41.56,One,In stock,https://books.toscrape.com/my-name-is-lucy-barton_720/index.html,Fiction,4820.96
My Mrs. Brown,24.48,Three,In stock,https://books.toscrape.com/my-mrs-brown_719/index.html,Fiction,2839.68
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,One,In stock,https://books.toscrape.com/mr-mercedes-bill-hodges-trilogy-1_717/index.html,Fiction,3352.3999999999996
I Am Pilgrim (Pilgrim #1),10.6,Four,In stock,https://books.toscrape.com/i-am-pilgrim-pilgrim-1_703/index.html,Fiction,1229.6
Eligible (The Austen Project #4),27.09,Three,In stock,https://books.toscrape.com/eligible-the-austen-project-4_692/index.html,Fiction,3142.44
Eight Hundred Grapes,14.39,Four,In stock,https://books.toscrape.com/eight-hundred-grapes_690/index.html,Fiction,1669.24
Dear Mr. Knightley,11.21,Five,In stock,https://books.toscrape.com/dear-mr-knightley_684/index.html,Fiction,1300.3600000000001
Cometh the Hour (The Clifton Chronicles #6),25.01,Three,In stock,https://books.toscrape.com/cometh-the-hour-the-clifton-chronicles-6_681/index.html,Fiction,2901.1600000000003
Balloon Animals,17.03,Three,In stock,https://books.toscrape.com/balloon-animals_665/index.html,Fiction,1975.48
A Man Called Ove,39.72,One,In stock,https://books.toscrape.com/a-man-called-ove_653/index.html,Fiction,4607.5199999999995
The Silent Sister (Riley MacPherson #1),46.29,Five,In stock,https://books.toscrape.com/the-silent-sister-riley-macpherson-1_641/index.html,Fiction,5369.64
The Dinner Party,56.54,Two,In stock,https://books.toscrape.com/the-dinner-party_635/index.html,Fiction,6558.64
The Improbability of Love,59.45,One,In stock,https://books.toscrape.com/the-improbability-of-love_607/index.html,Fiction,6896.200000000001
Mothering Sunday,13.34,Two,In stock,https://books.toscrape.com/mothering-sunday_600/index.html,Fiction,1547.44
Lies and Other Acts of Love,45.14,One,In stock,https://books.toscrape.com/lies-and-other-acts-of-love_596/index.html,Fiction,5236.24
Daredevils,16.34,Three,In stock,https://books.toscrape.com/daredevils_590/index.html,Fiction,1895.44
11/22/63,48.48,Three,In stock,https://books.toscrape.com/112263_583/index.html,Fiction,5623.679999999999
The Shack,28.03,One,In stock,https://books.toscrape.com/the-shack_576/index.html,Fiction,3251.48
The High Mountains of Portugal,51.15,One,In stock,https://books.toscrape.com/the-high-mountains-of-portugal_547/index.html,Fiction,5933.4
Miller's Valley,58.54,Two,In stock,https://books.toscrape.com/millers-valley_534/index.html,Fiction,6790.64
Hystopia: A Novel,21.96,Four,In stock,https://books.toscrape.com/hystopia-a-novel_523/index.html,Fiction,2547.36
The Bourne Identity (Jason Bourne #1),42.78,Four,In stock,https://books.toscrape.com/the-bourne-identity-jason-bourne-1_492/index.html,Fiction,4962.4800000000005
Sister Dear,40.2,Four,In stock,https://books.toscrape.com/sister-dear_485/index.html,Fiction,4663.200000000001
Memoirs of a Geisha,49.67,Three,In stock,https://books.toscrape.com/memoirs-of-a-geisha_477/index.html,Fiction,5761.72
Me Before You (Me Before You #1),19.02,One,In stock,https://books.toscrape.com/me-before-you-me-before-you-1_434/index.html,Fiction,2206.32
Deception Point,40.32,Four,In stock,https://books.toscrape.com/deception-point_426/index.html,Fiction,4677.12
The Little Paris Bookshop,24.73,Three,In stock,https://books.toscrape.com/the-little-paris-bookshop_407/index.html,Fiction,2868.68
The Firm,45.56,Three,In stock,https://books.toscrape.com/the-firm_404/index.html,Fiction,5284.96
The Expatriates,44.58,Two,In stock,https://books.toscrape.com/the-expatriates_401/index.html,Fiction,5171.28
Siddhartha,34.22,Five,In stock,https://books.toscrape.com/siddhartha_393/index.html,Fiction,3969.52
Last One Home (New Beginnings #1),59.98,Three,In stock,https://books.toscrape.com/last-one-home-new-beginnings-1_383/index.html,Fiction,6957.679999999999
Digital Fortress,58.0,Five,In stock,https://books.toscrape.com/digital-fortress_369/index.html,Fiction,6728.0
Atlas Shrugged,26.58,Five,In stock,https://books.toscrape.com/atlas-shrugged_314/index.html,Fiction,3083.2799999999997
Three-Martini Lunch,23.21,Three,In stock,https://books.toscrape.com/three-martini-lunch_290/index.html,Fiction,2692.36
The Nightingale,26.26,Four,In stock,https://books.toscrape.com/the-nightingale_267/index.html,Fiction,3046.1600000000003
The Infinities,27.41,One,In stock,https://books.toscrape.com/the-infinities_257/index.html,Fiction,3179.56
The Husband's Secret,52.51,Five,In stock,https://books.toscrape.com/the-husbands-secret_256/index.html,Fiction,6091.16
The Da Vinci Code (Robert Langdon #2),22.96,Two,In stock,https://books.toscrape.com/the-da-vinci-code-robert-langdon-2_240/index.html,Fiction,2663.36
The Art of Fielding,22.1,One,In stock,https://books.toscrape.com/the-art-of-fielding_228/index.html,Fiction,2563.6000000000004
Lila (Gilead #3),12.47,Three,In stock,https://books.toscrape.com/lila-gilead-3_190/index.html,Fiction,1446.52
Jurassic Park (Jurassic Park #1),44.97,One,In stock,https://books.toscrape.com/jurassic-park-jurassic-park-1_180/index.html,Fiction,5216.5199999999995
Inferno (Robert Langdon #4),41.0,Five,In stock,https://books.toscrape.com/inferno-robert-langdon-4_176/index.html,Fiction,4756.0
Crazy Rich Asians (Crazy Rich Asians #1),49.13,Five,In stock,https://books.toscrape.com/crazy-rich-asians-crazy-rich-asians-1_143/index.html,Fiction,5699.08
Big Little Lies,22.11,One,In stock,https://books.toscrape.com/big-little-lies_129/index.html,Fiction,2564.7599999999998
The Course of Love,16.78,Three,In stock,https://books.toscrape.com/the-course-of-love_109/index.html,Fiction,1946.48
When I'm Gone,51.96,Three,In stock,https://books.toscrape.com/when-im-gone_95/index.html,Fiction,6027.36
The Silent Wife,12.34,Five,In stock,https://books.toscrape.com/the-silent-wife_83/index.html,Fiction,1431.44
The Bette Davis Club,30.66,Three,In stock,https://books.toscrape.com/the-bette-davis-club_59/index.html,Fiction,3556.56
Kitchens of the Great Midwest,57.2,Five,In stock,https://books.toscrape.com/kitchens-of-the-great-midwest_28/index.html,Fiction,6635.200000000001
Bright Lines,39.07,Five,In stock,https://books.toscrape.com/bright-lines_11/index.html,Fiction,4532.12
Birdsong: A Story in Pictures,54.64,Three,In stock,https://books.toscrape.com/birdsong-a-story-in-pictures_975/index.html,Childrens,6338.24
The Bear and the Piano,36.89,One,In stock,https://books.toscrape.com/the-bear-and-the-piano_967/index.html,Childrens,4279.24
The Secret of Dreadwillow Carse,56.13,One,In stock,https://books.toscrape.com/the-secret-of-dreadwillow-carse_944/index.html,Childrens,6511.08
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,Four,In stock,https://books.toscrape.com/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,Childrens,6737.28
Little Red,13.47,Three,In stock,https://books.toscrape.com/little-red_817/index.html,Childrens,1562.52
Walt Disney's Alice in Wonderland,12.96,Five,In stock,https://books.toscrape.com/walt-disneys-alice-in-wonderland_777/index.html,Childrens,1503.3600000000001
Twenty Yawns,22.08,Two,In stock,https://books.toscrape.com/twenty-yawns_773/index.html,Childrens,2561.2799999999997
Rain Fish,23.57,Three,In stock,https://books.toscrape.com/rain-fish_728/index.html,Childrens,2734.12
Once Was a Time,18.28,Two,In stock,https://books.toscrape.com/once-was-a-time_724/index.html,Childrens,2120.48
Luis Paints the World,53.95,Three,In stock,https://books.toscrape.com/luis-paints-the-world_714/index.html,Childrens,6258.200000000001
Nap-a-Roo,25.08,One,In stock,https://books.toscrape.com/nap-a-roo_567/index.html,Childrens,2909.2799999999997
The Whale,35.96,Four,In stock,https://books.toscrape.com/the-whale_501/index.html,Childrens,4171.36
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,Three,In stock,https://books.toscrape.com/shrunken-treasures-literary-classics-short-sweet-and-silly_484/index.html,Childrens,6132.92
Raymie Nightingale,34.41,Two,In stock,https://books.toscrape.com/raymie-nightingale_482/index.html,Childrens,3991.5599999999995
Playing from the Heart,32.38,One,In stock,https://books.toscrape.com/playing-from-the-heart_481/index.html,Childrens,3756.0800000000004
Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,One,In stock,https://books.toscrape.com/maybe-something-beautiful-how-art-transformed-a-neighborhood_386/index.html,Childrens,2614.64
The Wild Robot,56.07,Three,In stock,https://books.toscrape.com/the-wild-robot_288/index.html,Childrens,6504.12
The Thing About Jellyfish,48.77,One,In stock,https://books.toscrape.com/the-thing-about-jellyfish_283/index.html,Childrens,5657.320000000001
The Lonely Ones,43.59,Five,In stock,https://books.toscrape.com/the-lonely-ones_261/index.html,Childrens,5056.4400000000005
The Day the Crayons Came Home (Crayons),26.33,Five,In stock,https://books.toscrape.com/the-day-the-crayons-came-home-crayons_241/index.html,Childrens,3054.2799999999997
The Cat in the Hat (Beginner Books B-1),16.26,Two,In stock,https://books.toscrape.com/the-cat-in-the-hat-beginner-books-b-1_235/index.html,Childrens,1886.16
Red: The True Story of Red Riding Hood,28.54,Three,In stock,https://books.toscrape.com/red-the-true-story-of-red-riding-hood_210/index.html,Childrens,3310.64
Horrible Bear!,37.52,Two,In stock,https://books.toscrape.com/horrible-bear_168/index.html,Childrens,4352.320000000001
Green Eggs and Ham (Beginner Books B-16),10.79,Four,In stock,https://books.toscrape.com/green-eggs-and-ham-beginner-books-b-16_165/index.html,Childrens,1251.6399999999999
Counting Thyme,10.62,One,In stock,https://books.toscrape.com/counting-thyme_142/index.html,Childrens,1231.9199999999998
Are We There Yet?,10.66,Three,In stock,https://books.toscrape.com/are-we-there-yet_122/index.html,Childrens,1236.56
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,Four,In stock,https://books.toscrape.com/diary-of-a-minecraft-zombie-book-1-a-scare-of-a-dare-an-unofficial-minecraft-book_99/index.html,Childrens,6134.08
Matilda,28.34,One,In stock,https://books.toscrape.com/matilda_32/index.html,Childrens,3287.44
Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,Three,In stock,https://books.toscrape.com/charlie-and-the-chocolate-factory-charlie-bucket-1_13/index.html,Childrens,2650.6000000000004
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Two,In stock,https://books.toscrape.com/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,Religion,4404.5199999999995
You Are What You Love: The Spiritual Power of Habit,21.87,Four,In stock,https://books.toscrape.com/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,Religion,2536.92
God: The Most Unpleasant Character in All Fiction,30.03,Five,In stock,https://books.toscrape.com/god-the-most-unpleasant-character-in-all-fiction_697/index.html,Religion,3483.48
The Book of Mormon,24.57,Three,In stock,https://books.toscrape.com/the-book-of-mormon_571/index.html,Religion,2850.12
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,One,In stock,https://books.toscrape.com/a-history-of-god-the-4000-year-quest-of-judaism-christianity-and-islam_310/index.html,Religion,3203.92
The Bhagavad Gita,57.49,Three,In stock,https://books.toscrape.com/the-bhagavad-gita_60/index.html,Religion,6668.84
Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,Four,In stock,https://books.toscrape.com/choosing-our-religion-the-spiritual-lives-of-americas-nones_14/index.html,Religion,3296.7200000000003
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,Five,In stock,https://books.toscrape.com/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Nonfiction,4674.799999999999
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,In stock,https://books.toscrape.com/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,Nonfiction,3601.8
Reasons to Stay Alive,26.41,Two,In stock,https://books.toscrape.com/reasons-to-stay-alive_959/index.html,Nonfiction,3063.56
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,In stock,https://books.toscrape.com/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,Nonfiction,2680.7599999999998
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,In stock,https://books.toscrape.com/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,Nonfiction,5124.88
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,In stock,https://books.toscrape.com/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,Nonfiction,3609.92
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,In stock,https://books.toscrape.com/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,Nonfiction,1945.32
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,In stock,https://books.toscrape.com/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,Nonfiction,4307.08
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,In stock,https://books.toscrape.com/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,Nonfiction,6502.96
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,In stock,https://books.toscrape.com/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,Nonfiction,4852.28
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,In stock,https://books.toscrape.com/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,Nonfiction,2300.2799999999997
In the Country We Love: My Family Divided,22.0,Four,In stock,https://books.toscrape.com/in-the-country-we-love-my-family-divided_901/index.html,Nonfiction,2552.0
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Two,In stock,https://books.toscrape.com/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,Nonfiction,6304.6
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Five,In stock,https://books.toscrape.com/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,Nonfiction,3380.2400000000002
Algorithms to Live By: The Computer Science of Human Decisions,30.81,One,In stock,https://books.toscrape.com/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,Nonfiction,3573.96
The Power of Now: A Guide to Spiritual Enlightenment,43.54,Two,In stock,https://books.toscrape.com/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,Nonfiction,5050.64
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Two,In stock,https://books.toscrape.com/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,Nonfiction,4432.36
The Genius of Birds,17.24,One,In stock,https://books.toscrape.com/the-genius-of-birds_843/index.html,Nonfiction,1999.84
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Five,In stock,https://books.toscrape.com/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,Nonfiction,4464.84
So You've Been Publicly Shamed,12.23,Two,In stock,https://books.toscrape.com/so-youve-been-publicly-shamed_832/index.html,Nonfiction,1418.68
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,Three,In stock,https://books.toscrape.com/daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead_799/index.html,Nonfiction,2253.88
Big Magic: Creative Living Beyond Fear,30.8,Three,In stock,https://books.toscrape.com/big-magic-creative-living-beyond-fear_796/index.html,Nonfiction,3572.8
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,Two,In stock,https://books.toscrape.com/becoming-wise-an-inquiry-into-the-mystery-and-art-of-living_795/index.html,Nonfiction,3181.88
Agnostic: A Spirited Manifesto,12.51,Five,In stock,https://books.toscrape.com/agnostic-a-spirited-manifesto_786/index.html,Nonfiction,1451.16
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,Four,In stock,https://books.toscrape.com/whole-lotta-creativity-going-on-60-fun-and-unusual-exercises-to-awaken-and-strengthen-your-creativity_780/index.html,Nonfiction,4431.200000000001
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,Two,In stock,https://books.toscrape.com/whats-it-like-in-space-stories-from-astronauts-whove-been-there_779/index.html,Nonfiction,2273.6000000000004
The Year of Magical Thinking,43.04,Two,In stock,https://books.toscrape.com/the-year-of-magical-thinking_770/index.html,Nonfiction,4992.64
The Literature Book (Big Ideas Simply Explained),17.43,Three,In stock,https://books.toscrape.com/the-literature-book-big-ideas-simply-explained_755/index.html,Nonfiction,2021.8799999999999
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,One,In stock,https://books.toscrape.com/the-bad-ass-librarians-of-timbuktu-and-their-race-to-save-the-worlds-most-precious-manuscripts_745/index.html,Nonfiction,1829.32
Swell: A Year of Waves,45.58,One,In stock,https://books.toscrape.com/swell-a-year-of-waves_740/index.html,Nonfiction,5287.28
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,Two,In stock,https://books.toscrape.com/no-dream-is-too-high-life-lessons-from-a-man-who-walked-on-the-moon_722/index.html,Nonfiction,2546.2
Looking for Lovely: Collecting the Moments that Matter,29.14,Five,In stock,https://books.toscrape.com/looking-for-lovely-collecting-the-moments-that-matter_710/index.html,Nonfiction,3380.2400000000002
Let It Out: A Journey Through Journaling,26.79,Five,In stock,https://books.toscrape.com/let-it-out-a-journey-through-journaling_708/index.html,Nonfiction,3107.64
Hamilton: The Revolution,58.79,Three,In stock,https://books.toscrape.com/hamilton-the-revolution_699/index.html,Nonfiction,6819.64
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,Four,In stock,https://books.toscrape.com/far-away-places-on-the-brink-of-change-seven-continents-twenty-five-years_694/index.html,Nonfiction,1746.96
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,Five,In stock,https://books.toscrape.com/eaternity-more-than-150-deliciously-easy-vegan-recipes-for-a-long-healthy-satisfied-joyful-life_689/index.html,Nonfiction,6003.0
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,Four,In stock,https://books.toscrape.com/buying-in-the-secret-dialogue-between-what-we-buy-and-who-we-are_670/index.html,Nonfiction,4384.799999999999
Brain on Fire: My Month of Madness,49.32,Five,In stock,https://books.toscrape.com/brain-on-fire-my-month-of-madness_669/index.html,Nonfiction,5721.12
Abstract City,56.37,Five,In stock,https://books.toscrape.com/abstract-city_658/index.html,Nonfiction,6538.92
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,One,In stock,https://books.toscrape.com/13-hours-the-inside-account-of-what-really-happened-in-benghazi_645/index.html,Nonfiction,3138.96
